customer_id,first_name,last_name,email,phone_number,registration_date,customer_segment,preferred_channel,age_group,income_level,avg_order_value,promo_sensitivity,email_opt_in,sms_opt_in,push_opt_in,last_purchase_date,total_lifetime_orders,preferred_category
1,Maria,Cook,mariacook@yahoo.com,+1-852-852-7968,2025-01-31 19:54:28.497949,New_Customer,Social,18-25,Low,71.77,0.75,True,True,False,,4,Beauty
2,Jose,West,jose6@outlook.com,+1-797-357-9058,2024-01-08 13:54:31.194234,High_Value,Email,55+,High,435.71,0.34,False,True,False,2025-07-04 13:15:32.182218,25,Books
3,Christopher,Hale,christopher.hale@outlook.com,+1-860-315-5267,2023-12-17 15:51:01.386694,Medium_Value,Social,18-25,Premium,184.04,0.61,False,False,False,2025-07-04 13:13:41.846377,36,Electronics
4,Daniel,Klein,danielklein@yahoo.com,+1-877-995-7122,2025-03-28 06:34:01.241696,Low_Value,Push,26-35,High,86.76,0.66,False,True,False,2025-07-04 13:16:20.627983,8,Sports
5,Allison,Mckenzie,allisonmckenzie@hotmail.com,+1-731-699-7934,2024-07-31 14:31:40.654850,Medium_Value,Direct,46-55,Low,77.53,0.47,False,False,False,2025-07-04 13:17:04.490494,11,Clothing
6,Kimberly,Miller,kimberly781@hotmail.com,+1-722-373-5810,2024-11-28 01:52:40.949023,Medium_Value,Social,46-55,Premium,152.52,0.62,False,True,False,,32,Books
7,Susan,Pollard,susan.pollard@yahoo.com,+1-945-976-1545,2024-02-29 13:08:04.726952,High_Value,Email,55+,Medium,179.41,0.25,False,True,True,2025-07-04 13:13:25.803238,17,Books
8,Gregory,Hunter,gregory995@hotmail.com,+1-344-645-9355,2024-04-07 03:53:55.017533,Low_Value,Social,46-55,Low,36.03,0.65,False,False,False,2025-07-04 13:16:18.816402,1,Clothing
9,James,Osborne,jamesosborne@gmail.com,+1-803-970-3855,2023-08-29 21:31:37.483855,Medium_Value,Push,55+,Premium,164.4,0.61,True,True,False,2025-07-04 13:14:38.574809,33,Beauty
10,Cheryl,Carter,cherylcarter@outlook.com,+1-651-676-8976,2024-06-02 19:14:21.856848,Low_Value,SMS,36-45,High,75.26,0.74,False,False,True,2025-07-04 13:14:44.739968,7,Clothing
11,Jacob,Wilson,jacobwilson@hotmail.com,+1-928-869-7315,2024-10-21 04:02:17.144356,New_Customer,Push,18-25,,134.23,0.68,False,False,False,2025-07-04 13:14:00.099622,47,Books
12,Matthew,Hill,matthew660@hotmail.com,+1-399-795-6208,2025-03-19 12:46:29.963911,Medium_Value,Direct,55+,Low,138.97,0.42,True,True,False,2025-07-04 13:16:14.457223,39,Beauty
13,Angela,Sims,angela.sims@outlook.com,+1-900-941-7321,2024-07-27 05:35:51.873008,High_Value,Push,46-55,High,213.76,0.31,False,True,False,2025-07-04 13:15:23.181523,31,Clothing
14,Sarah,Willis,sarah.willis@outlook.com,+1-369-248-3338,2024-12-10 02:52:28.914064,New_Customer,Social,18-25,Premium,145.89,0.51,False,True,True,2025-07-04 13:16:34.968068,49,Electronics
15,Jennifer,Wheeler,jenniferwheeler@outlook.com,+1-387-275-6563,2024-07-19 08:17:36.811294,Medium_Value,SMS,55+,Low,116.8,0.45,True,True,False,2025-07-04 13:17:34.645229,24,Electronics
16,Roger,Sweeney,roger.sweeney@gmail.com,+1-307-764-9069,2023-11-02 20:50:03.021579,High_Value,Email,18-25,Premium,470.64,0.27,False,False,True,2025-07-04 13:17:41.409120,33,Beauty
17,James,Clark,james.clark@yahoo.com,+1-955-603-2763,2024-09-27 20:14:38.285180,High_Value,Email,36-45,Medium,485.25,0.24,True,True,True,,22,Books
18,Amber,Li,amber.li@outlook.com,+1-447-772-3905,2023-09-05 14:39:03.471396,Low_Value,Push,26-35,Low,57.31,0.64,False,True,False,2025-07-04 13:18:25.330103,44,Clothing
19,Fred,Hendricks,fred118@outlook.com,+1-381-770-2036,2024-08-06 14:22:56.031076,High_Value,Email,55+,Low,485.67,0.3,False,True,False,2025-07-04 13:18:33.416880,8,Books
20,Ashley,King,ashley.king@outlook.com,+1-454-244-4678,2024-11-08 22:25:16.067021,Medium_Value,Push,18-25,,116.08,0.62,True,True,True,2025-07-04 13:14:41.967214,1,Home
21,Mark,Terry,markterry@hotmail.com,+1-973-295-1616,2024-07-28 03:08:22.134171,High_Value,Email,55+,High,202.59,0.38,True,False,True,2025-07-04 13:17:39.813110,26,Clothing
22,Amy,Silva,amy662@outlook.com,+1-646-565-2662,2025-05-29 15:42:42.761614,High_Value,SMS,26-35,Premium,276.19,0.32,False,False,False,2025-07-04 13:18:30.136726,20,Beauty
23,Carmen,Jenkins,carmen962@hotmail.com,+1-951-777-8692,2024-04-12 05:18:06.121110,Low_Value,Social,46-55,Premium,51.06,0.76,False,False,False,2025-07-04 13:15:38.297836,8,Electronics
24,Jeremy,Martinez,jeremymartinez@gmail.com,+1-384-235-5480,2024-05-22 15:43:52.331702,New_Customer,Email,18-25,,96.59,0.54,False,True,False,,49,Sports
25,Justin,Ward,justin293@gmail.com,+1-230-438-2521,2024-03-03 08:38:17.240717,New_Customer,Direct,36-45,High,49.72,0.55,False,False,True,2025-07-04 13:13:49.666115,26,Books
26,Megan,Harris,meganharris@yahoo.com,+1-794-241-9906,2025-04-28 12:34:26.459419,Low_Value,Push,18-25,High,26.96,0.65,True,False,True,2025-07-04 13:18:11.571486,32,Beauty
27,Charles,Herman,charles.herman@yahoo.com,+1-296-822-6734,2024-06-10 08:56:13.205255,Medium_Value,SMS,,Low,75.91,0.46,True,False,False,2025-07-04 13:16:21.658863,12,Home
28,Scott,Olsen,scott861@outlook.com,+1-723-272-3847,2024-03-21 18:51:15.660699,Low_Value,Email,36-45,Premium,56.46,0.7,False,True,False,2025-07-04 13:15:37.634915,45,Electronics
29,Diane,Brown,dianebrown@yahoo.com,+1-512-417-7090,2024-02-17 01:40:39.056038,New_Customer,Push,55+,Low,96.11,0.75,False,False,False,2025-07-04 13:17:16.653471,11,Home
30,Jennifer,Gallagher,jennifer915@yahoo.com,+1-428-551-8800,2024-01-19 23:56:08.192283,New_Customer,Email,36-45,Low,31.0,0.64,True,True,True,2025-07-04 13:18:37.721601,19,Beauty
31,Nina,Williams,nina663@gmail.com,+1-385-455-9717,2024-03-11 11:58:08.552610,Medium_Value,Direct,18-25,Medium,157.63,0.63,True,False,False,,34,Clothing
32,Carlos,Miller,carlos564@outlook.com,+1-608-488-3442,2024-12-11 19:54:16.381629,High_Value,Direct,46-55,Low,265.41,0.27,False,True,True,2025-07-04 13:15:21.578059,46,Electronics
33,David,Johnson,david.johnson@yahoo.com,+1-206-634-2945,2024-12-14 14:42:41.711655,Medium_Value,Email,36-45,Medium,143.1,0.49,False,True,True,2025-07-04 13:17:22.712723,20,Home
34,Cynthia,Lucas,cynthia.lucas@gmail.com,+1-761-334-7767,2023-12-22 09:03:36.753454,New_Customer,SMS,26-35,Medium,96.94,0.75,True,True,False,2025-07-04 13:13:01.053452,20,Books
35,Suzanne,Reynolds,suzanne275@yahoo.com,+1-495-421-8881,2023-11-18 05:55:07.773269,Low_Value,SMS,55+,Premium,35.84,0.72,True,True,True,2025-07-04 13:13:31.660986,12,Electronics
